hyperlink;postcode;Province;Region;house_is;property_subtype;price;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;building_state
7854808;8300;Fland Occidentale;Flandre;1;HOUSE;295000.0;2;299;;;FALSE;;;;;;193.0;;FALSE;
7854937;3090;Brabant Flamand;Flandre;1;MIXED_USE_BUILDING;400000.0;5;-1;TRUE;FALSE;FALSE;TRUE;0.0;TRUE;250.0;596.0;596.0;0.0;FALSE;GOOD
7854939;3090;Brabant Flamand;Flandre;1;HOUSE;400000.0;5;-1;TRUE;FALSE;FALSE;TRUE;0.0;TRUE;250.0;596.0;596.0;0.0;FALSE;GOOD
7855410;9040;Flandre Orientale;Flandre;0;APARTMENT;280000.0;2;-1;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;GOOD
7855587;4031;Liege;Wallonie;1;APARTMENT_BLOCK;192500.0;4;1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;170.0;0.0;FALSE;GOOD
7856490;6031;Luxembourg;Wallonie;1;HOUSE;109900.0;3;125;;;;;;;;;214.0;3.0;;
7858699;8700;Fland Occidentale;Flandre;0;APARTMENT;295000.0;2;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;80.0;0.0;FALSE;GOOD
7859101;8670;Fland Occidentale;Flandre;0;APARTMENT;449000.0;1;75;TRUE;TRUE;FALSE;FALSE;0.0;FALSE;0.0;0.0;3.0;0.0;FALSE;AS_NEW
7859668;8210;Fland Occidentale;Flandre;1;APARTMENT_BLOCK;925000.0;0;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;1722.0;1722.0;0.0;FALSE;
7861702;9880;Flandre Orientale;Flandre;0;APARTMENT;505000.0;2;162;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;162.0;0.0;FALSE;
7863086;8300;Fland Occidentale;Flandre;0;APARTMENT;430000.0;1;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;JUST_RENOVATED
7863782;5630;Namur;Wallonie;1;HOUSE;245000.0;6;1121;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;3683.0;3683.0;0.0;FALSE;GOOD
7865038;4040;Liege;Wallonie;1;APARTMENT_BLOCK;229000.0;2;194;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;194.0;0.0;FALSE;
7865564;8670;Fland Occidentale;Flandre;0;APARTMENT;199000.0;2;66;TRUE;FALSE;FALSE;TRUE;8.0;TRUE;;;;2.0;FALSE;
7866764;9000;Flandre Orientale;Flandre;0;APARTMENT;317000.0;2;89;FALSE;FALSE;FALSE;TRUE;10.0;FALSE;0.0;0.0;89.0;0.0;FALSE;
7867588;8552;Fland Occidentale;Flandre;1;HOUSE;234260.0;3;153;TRUE;FALSE;FALSE;TRUE;22.0;TRUE;147.0;234.0;234.0;0.0;FALSE;
7867772;7500;Hainaut;Wallonie;0;APARTMENT;290836.0;2;95;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;95.0;0.0;FALSE;AS_NEW
7870774;6440;Luxembourg;Wallonie;1;HOUSE;180.0;4;212;;FALSE;FALSE;FALSE;0.0;FALSE;0.0;;;0.0;;
7871378;2830;Anvers;Flandre;1;HOUSE;366400.0;3;185;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;509.0;509.0;0.0;FALSE;AS_NEW
7871401;2830;Anvers;Flandre;1;HOUSE;372100.0;3;185;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;533.0;533.0;0.0;FALSE;AS_NEW
7872397;8370;Fland Occidentale;Flandre;0;APARTMENT;249500.0;2;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;AS_NEW
7873821;7130;Hainaut;Wallonie;1;MIXED_USE_BUILDING;4222000.0;30;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;1.0;1.0;0.0;FALSE;
7873982;7380;Hainaut;Wallonie;1;MIXED_USE_BUILDING;160000.0;2;4;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;204.0;0.0;FALSE;
7874029;7370;Hainaut;Wallonie;1;MIXED_USE_BUILDING;125000.0;3;1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;260.0;260.0;0.0;FALSE;TO_RENOVATE
7877568;5580;Namur;Wallonie;0;APARTMENT;232500.0;2;111;TRUE;FALSE;FALSE;TRUE;16.0;FALSE;0.0;0.0;111.0;0.0;FALSE;AS_NEW
7877569;5580;Namur;Wallonie;0;PENTHOUSE;352500.0;3;162;TRUE;FALSE;FALSE;TRUE;33.0;FALSE;0.0;0.0;162.0;0.0;FALSE;AS_NEW
7881348;9000;Flandre Orientale;Flandre;0;PENTHOUSE;1349000.0;3;393;FALSE;FALSE;FALSE;TRUE;110.0;FALSE;0.0;0.0;7.0;0.0;FALSE;AS_NEW
7882495;8300;Fland Occidentale;Flandre;0;DUPLEX;1495000.0;2;135;TRUE;TRUE;FALSE;TRUE;0.0;FALSE;0.0;0.0;135.0;0.0;FALSE;AS_NEW
7884418;2360;Anvers;Flandre;1;HOUSE;321000.0;3;126;;;FALSE;;;;;;534.0;3.0;;AS_NEW
7885929;9120;Flandre Orientale;Flandre;0;APARTMENT;452500.0;2;98;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;98.0;0.0;FALSE;AS_NEW
7889182;1000;Bruxelles;Bruxelles;0;APARTMENT;340000.0;1;81;TRUE;FALSE;FALSE;TRUE;25.0;FALSE;0.0;0.0;1.0;0.0;FALSE;AS_NEW
7889186;1000;Bruxelles;Bruxelles;0;APARTMENT;755000.0;3;155;TRUE;FALSE;FALSE;TRUE;26.0;FALSE;0.0;0.0;1.0;0.0;FALSE;AS_NEW
7889187;1000;Bruxelles;Bruxelles;0;APARTMENT;895000.0;3;171;TRUE;FALSE;FALSE;TRUE;38.0;FALSE;0.0;0.0;1.0;0.0;FALSE;AS_NEW
7889188;1000;Bruxelles;Bruxelles;0;APARTMENT;650000.0;3;1;TRUE;FALSE;FALSE;TRUE;12.0;FALSE;0.0;0.0;1.0;0.0;FALSE;AS_NEW
7890191;1050;Bruxelles;Bruxelles;0;APARTMENT;1850000.0;4;-1;TRUE;FALSE;FALSE;TRUE;60.0;FALSE;0.0;0.0;300.0;0.0;FALSE;AS_NEW
7892380;2060;Anvers;Flandre;1;APARTMENT_BLOCK;459900.0;0;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;TO_BE_DONE_UP
7892918;8670;Fland Occidentale;Flandre;0;APARTMENT;390000.0;2;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
