,hyperlink,postcode,Province,Region,house_is,property_subtype,price,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state
15221,8942740,9700,East Flanders,Flemish Region,0,APARTMENT,215000.0,1,-1,False,False,False,True,0.0,True,,,,,False,
15222,8942741,9700,East Flanders,Flemish Region,1,HOUSE,215000.0,1,-1,False,False,False,True,0.0,True,,,9292.0,,False,
15223,8942799,9070,East Flanders,Flemish Region,1,VILLA,799000.0,5,3,True,False,False,True,0.0,False,0.0,2450.0,2450.0,0.0,False,TO_BE_DONE_UP
15224,8942803,9470,East Flanders,Flemish Region,0,GROUND_FLOOR,189000.0,2,-1,True,False,False,True,3.0,False,,,,2.0,False,
15225,8942956,9185,East Flanders,Flemish Region,1,HOUSE,324000.0,4,137,True,False,False,True,0.0,True,,,264.0,3.0,False,
15226,8943073,9400,East Flanders,Flemish Region,0,APARTMENT,210000.0,2,154,True,False,False,True,0.0,False,,,,1.0,False,
15227,8943081,9300,East Flanders,Flemish Region,0,APARTMENT,289000.0,2,-1,True,False,False,True,25.0,True,60.0,,,,False,
15228,8943170,9280,East Flanders,Flemish Region,0,APARTMENT,280000.0,3,-1,True,False,False,False,0.0,False,,,,2.0,False,
15229,8943182,9200,East Flanders,Flemish Region,1,HOUSE,278000.0,2,1,True,False,False,True,0.0,False,,,340.0,2.0,False,
15230,8943198,9990,East Flanders,Flemish Region,1,HOUSE,225000.0,2,1,True,False,False,True,0.0,False,0.0,155.0,155.0,0.0,False,GOOD
15231,8943209,9300,East Flanders,Flemish Region,0,APARTMENT,169000.0,2,75,True,False,False,False,0.0,False,0.0,0.0,75.0,0.0,False,GOOD
15232,8943210,9300,East Flanders,Flemish Region,0,APARTMENT,155000.0,2,75,True,False,False,False,0.0,False,0.0,0.0,75.0,0.0,False,GOOD
15233,8943342,9040,East Flanders,Flemish Region,1,HOUSE,419000.0,3,1,False,False,False,True,18.0,False,,,90.0,,False,
15234,8943343,9506,East Flanders,Flemish Region,1,HOUSE,189000.0,2,154,True,False,False,False,0.0,False,,,90.0,,False,
15235,8943344,9060,East Flanders,Flemish Region,1,HOUSE,199000.0,3,146,True,False,True,False,0.0,False,0.0,568.0,568.0,0.0,False,
15236,8943359,9840,East Flanders,Flemish Region,1,VILLA,634000.0,4,3,True,False,True,False,0.0,True,,,1500.0,4.0,False,
15237,8943368,9080,East Flanders,Flemish Region,1,HOUSE,599000.0,4,1,True,False,False,True,0.0,True,,,913.0,4.0,False,
15238,8943415,9200,East Flanders,Flemish Region,1,HOUSE,385000.0,4,4,True,False,False,True,30.0,False,,,172.0,2.0,False,
15239,8943422,9140,East Flanders,Flemish Region,0,APARTMENT,648000.0,3,159,True,False,False,True,32.0,False,0.0,0.0,159.0,0.0,False,AS_NEW
15240,8943493,9032,East Flanders,Flemish Region,1,HOUSE,299000.0,3,158,True,False,True,False,0.0,False,,,122.0,3.0,False,
15241,8943534,9170,East Flanders,Flemish Region,1,HOUSE,318000.0,3,187,False,False,False,False,0.0,True,,,230.0,2.0,False,
15242,8943563,9120,East Flanders,Flemish Region,1,HOUSE,249000.0,2,98,True,False,False,True,24.0,True,200.0,270.0,270.0,0.0,False,JUST_RENOVATED
15243,8943570,9000,East Flanders,Flemish Region,1,MANSION,750000.0,3,-1,False,False,False,False,0.0,True,90.0,,176.0,2.0,False,
15244,8943720,9160,East Flanders,Flemish Region,1,VILLA,659000.0,4,1,True,False,False,True,33.0,True,450.0,,583.0,4.0,False,
15245,8943727,9070,East Flanders,Flemish Region,0,APARTMENT,325000.0,2,-1,False,False,False,True,0.0,False,0.0,0.0,0.0,0.0,False,NOT_SPECIFIED
15246,8943759,9050,East Flanders,Flemish Region,0,APARTMENT,278000.0,1,77,True,False,False,True,0.0,False,,,,,False,
15247,8943779,9050,East Flanders,Flemish Region,0,APARTMENT,350000.0,2,95,True,False,False,True,0.0,False,,,,2.0,False,
15248,8943799,9050,East Flanders,Flemish Region,0,APARTMENT,416000.0,3,117,True,False,False,True,0.0,False,,,,3.0,False,
15249,8943824,9050,East Flanders,Flemish Region,0,DUPLEX,384000.0,3,142,True,False,False,True,0.0,False,,,,,False,
15250,8943837,9050,East Flanders,Flemish Region,0,PENTHOUSE,456000.0,3,4,True,False,False,True,0.0,False,,,,2.0,False,
15251,8943841,9000,East Flanders,Flemish Region,0,APARTMENT,475000.0,3,1,True,False,False,False,0.0,False,,,,,False,
15252,8943872,9000,East Flanders,Flemish Region,0,APARTMENT,285000.0,2,78,True,False,False,True,6.0,True,24.0,,,3.0,False,
15253,8943903,9150,East Flanders,Flemish Region,1,VILLA,589000.0,5,249,True,False,False,True,40.0,True,885.0,,1027.0,,False,
15254,8943927,9100,East Flanders,Flemish Region,0,APARTMENT,279000.0,2,121,False,False,False,True,17.0,False,0.0,0.0,121.0,0.0,False,
15255,8943974,9000,East Flanders,Flemish Region,0,APARTMENT,520000.0,2,125,True,False,False,True,8.0,False,0.0,0.0,125.0,0.0,False,GOOD
15256,8944006,9000,East Flanders,Flemish Region,0,APARTMENT,284000.0,2,78,True,False,False,True,3.0,False,0.0,0.0,78.0,0.0,False,GOOD
15257,8944054,9120,East Flanders,Flemish Region,1,HOUSE,265000.0,2,-1,True,False,False,True,0.0,True,70.0,,160.0,2.0,False,
15258,8944120,9000,East Flanders,Flemish Region,1,HOUSE,415000.0,3,1,True,False,True,True,0.0,True,30.0,96.0,12.0,0.0,False,AS_NEW
15259,8944133,9990,East Flanders,Flemish Region,0,APARTMENT,214500.0,2,-1,True,False,False,True,8.0,False,0.0,0.0,0.0,0.0,False,GOOD
15260,8944147,9900,East Flanders,Flemish Region,1,HOUSE,260000.0,4,9,True,False,False,False,0.0,False,0.0,631.0,631.0,0.0,False,TO_RENOVATE
15261,8944148,9000,East Flanders,Flemish Region,0,APARTMENT,249000.0,2,-1,False,False,False,True,0.0,False,,,,2.0,False,
15262,8944149,9041,East Flanders,Flemish Region,1,HOUSE,299000.0,2,5,True,False,False,True,9.0,True,100.0,,105.0,,False,
15263,8944150,9900,East Flanders,Flemish Region,1,HOUSE,349000.0,5,323,True,True,False,False,0.0,False,0.0,280.0,280.0,0.0,False,GOOD
15264,8944151,9968,East Flanders,Flemish Region,1,HOUSE,319000.0,3,175,True,True,False,True,0.0,False,0.0,446.0,446.0,0.0,False,GOOD
15265,8944168,9000,East Flanders,Flemish Region,1,MANSION,1250000.0,12,-1,False,False,False,False,0.0,True,,,487.0,2.0,False,
15266,8944192,9185,East Flanders,Flemish Region,1,VILLA,599000.0,4,2,True,False,False,False,0.0,False,,,11966.0,4.0,False,
15267,8944217,9030,East Flanders,Flemish Region,0,DUPLEX,290000.0,3,138,False,False,True,True,0.0,False,,,,2.0,False,
15268,8944250,9000,East Flanders,Flemish Region,0,APARTMENT,215000.0,1,-1,True,False,False,False,0.0,False,0.0,0.0,40.0,0.0,False,
15269,8944252,9850,East Flanders,Flemish Region,0,APARTMENT,228000.0,2,73,True,False,False,True,0.0,False,0.0,0.0,73.0,0.0,False,
15270,8944254,9051,East Flanders,Flemish Region,1,HOUSE,495000.0,4,7,False,False,False,False,0.0,False,0.0,887.0,887.0,0.0,False,TO_BE_DONE_UP
15271,8944255,9000,East Flanders,Flemish Region,0,APARTMENT,375000.0,3,142,False,False,False,True,39.0,True,113.0,0.0,142.0,0.0,False,
15272,8944256,9000,East Flanders,Flemish Region,0,APARTMENT,306000.0,3,99,False,False,False,True,9.0,False,0.0,0.0,99.0,0.0,False,
15273,8944257,9000,East Flanders,Flemish Region,0,APARTMENT,336250.0,3,1,False,False,False,True,10.0,False,0.0,0.0,110.0,0.0,False,
15274,8944280,9900,East Flanders,Flemish Region,1,HOUSE,185000.0,4,165,False,False,False,True,0.0,False,,,250.0,3.0,False,
15275,8944284,9100,East Flanders,Flemish Region,1,MANSION,360000.0,3,186,True,False,True,False,0.0,True,45.0,,164.0,2.0,False,
15276,8944312,9770,East Flanders,Flemish Region,1,HOUSE,874000.0,4,369,True,False,False,False,0.0,True,1127.0,,1378.0,4.0,False,
15277,8944313,9770,East Flanders,Flemish Region,1,HOUSE,579000.0,2,2,True,False,False,False,0.0,True,677.0,,832.0,3.0,False,
15278,8944314,9770,East Flanders,Flemish Region,1,HOUSE,295000.0,2,1,True,False,False,True,38.0,True,450.0,546.0,11.0,0.0,False,AS_NEW
15279,8944399,9100,East Flanders,Flemish Region,0,APARTMENT,295000.0,3,145,True,False,False,True,45.0,True,,,,,False,
15280,8944400,9100,East Flanders,Flemish Region,1,HOUSE,295000.0,2,1,True,False,False,True,17.0,False,,,189.0,,False,
15281,8944402,9700,East Flanders,Flemish Region,1,HOUSE,225000.0,1,122,False,False,False,True,0.0,True,,,2208.0,3.0,False,
15282,8944403,9700,East Flanders,Flemish Region,1,HOUSE,275000.0,3,141,True,False,False,True,14.0,False,0.0,72.0,72.0,0.0,False,AS_NEW
15283,8944407,9880,East Flanders,Flemish Region,1,VILLA,497500.0,5,365,False,False,False,True,0.0,False,,,1308.0,,True,
15284,8944408,9800,East Flanders,Flemish Region,0,APARTMENT,214000.0,2,78,False,False,False,True,0.0,False,,,,,False,
15285,8944420,9880,East Flanders,Flemish Region,1,HOUSE,568000.0,2,218,True,False,False,True,39.0,False,0.0,470.0,470.0,0.0,False,
15286,8944421,9820,East Flanders,Flemish Region,0,APARTMENT,265000.0,2,87,True,False,False,True,7.0,False,0.0,0.0,87.0,0.0,False,
15287,8944422,9810,East Flanders,Flemish Region,0,APARTMENT,338500.0,3,6,False,False,False,True,34.0,False,0.0,0.0,106.0,0.0,False,AS_NEW
15288,8944424,9070,East Flanders,Flemish Region,0,APARTMENT,435000.0,3,2,True,False,False,False,0.0,False,0.0,0.0,11.0,0.0,False,AS_NEW
15289,8944430,9100,East Flanders,Flemish Region,1,HOUSE,264000.0,3,1,False,False,False,True,0.0,False,,,208.0,,False,
15290,8944431,9100,East Flanders,Flemish Region,1,HOUSE,549000.0,7,237,False,False,False,True,0.0,True,,,768.0,,False,
15291,8944437,9620,East Flanders,Flemish Region,1,MIXED_USE_BUILDING,170000.0,2,-1,False,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,GOOD
15292,8944479,9000,East Flanders,Flemish Region,1,HOUSE,299000.0,2,-1,False,False,False,False,0.0,False,,,49.0,2.0,False,
15293,8944480,9000,East Flanders,Flemish Region,1,HOUSE,259900.0,4,-1,False,False,False,False,0.0,False,,,,2.0,False,
15294,8944481,9032,East Flanders,Flemish Region,1,HOUSE,369000.0,3,1,True,False,False,False,0.0,False,0.0,288.0,288.0,0.0,False,GOOD
